We have sent the verification code to your email. Please check your email,確認コードをあなたのメールアドレスに送信しました。メールをご確認ください
We received your request to create an account,アカウント作成のリクエストを受け取りました
Your verification code is:,あなたの確認コードは次のとおりです。
Your verification code will expire in 30 minutes,確認コードは 30 分で期限切れになります
"Click <a href=""%link"">here</a> to enter verify code","クリック <a href=""%link"">ここ</a> 確認コードを入力するには"
Verify Your Email,メールアドレスを確認してください
Verify Code,コードの検証
Verification,検証
Verification code is incorrect. Please check your email again,認証コードが間違っています。もう一度メールをご確認ください
"The time to enter the verification code has expired. Please click <a href=""%1"">here</a> to register to receive a new verification code.","認証コードの入力期限が切れています。クリックしてください <a href=""%1"">ここ</a> 新しい認証コードを受け取るために登録します。"
Confirm Your Information,あなたの情報を確認してください
Furigana,フリガナ
Register,登録する
Member ID (email address) registration,会員ID（メールアドレス）登録
Member ID (email address),会員ID（メールアドレス
We will send you an email with your verification number. Please set your settings so that you can receive emails from %1.,認証番号のメールを送信します。%1 からのメールを受信できるよう設定お願いします
"Regarding the handling of personal information, please check <a href=""""%1"""" target=""_blank"">here</a> and agree before registering. If you do not agree, the registration procedure will be cancelled.","個人情報の取り扱いについては<a href=""""%1"""" target=""_blank"">こちら</a>をご確認頂き、同意の上ご登録ください。同意頂けない場合、登録手続きはキャンセルとなります。"
"Name (full-width)","お名前（全角）"
"Furigana (full-width)","フリガナ（全角）"
"Example) account@domain.com","例）account@domain.com"
"Sei","セイ"
"May","メイ"
"I have sent the verification number to %1. <br>Please enter the authentication number below and press the ""Authenticate"" button.","%1に認証番号を送信しました。<br>下記に認証番号を入力の上、「認証する」ボタンを押してください。"
"Verification number input","認証番号入力"
"Certification number (6 digit half-width numbers)","認証番号（半角数字6桁）"
"Authenticate","認証する"
"New member registration","新規会員登録"
"Roman numerals, symbols, etc. cannot be used.","「ローマ数字」「記号」等は使用できません。"
"List of prohibited characters","禁則文字一覧"
"Click here","はこちら"
"Invalid postal code.","無効な郵便番号です"
"Please enter a valid phone number.","正しい電話番号の形式で入力してください。"
"Receive great deals such as sales and coupons","セールやクーポンなどのお得な情報を受け取る"
"Agree to the terms and proceed to confirmation","規約に同意して確認へ進む"
The terms and conditions apply to the use of this site<br>Please check the above terms and conditions before applying.,本サイトのご利用には当該規約が適用されます<br>上記の規約等をご確認のうえ、お申し込みください
"No answer","無回答"
"date of birth","生年月日"
"half-width numbers","半角数字"
"search address","住所を検索する"
"Click here if you don't know your postal code","郵便番号がわからない場合もこちら"
"block address","丁番地"
"Building name","建物名"
"Member ID","会員ID"
"Mixed half-width alphanumeric characters","半角英数字混合"
"After","あと"
"You can enter characters","文字入力できます"
"Postal code (no hyphens)","郵便番号（ハイフン無し）"
"Example) 0-1-2","例）0-1-2"
"Example) Big Building Room 345","例）ビックビル345号室"
"Phone number (no hyphen)","電話番号（ハイフン無し）"
"I do not receive advantageous information such as sales and coupons","セールやクーポンなどのお得な情報を受け取らない"
"Mail magazine distribution","メールマガジン配信"
"Entering information","情報の入力"
"Confirm input contents","入力内容の確認"
"Registration completed","登録完了"
"If you are satisfied with the information below, please press ""Register"" to proceed to the completion screen.","以下の内容でよろしければ、「登録する」を押して完了画面へお進みください。"
"Membership registration completed","会員登録完了"
thank you very much. <br>First name and last name's member registration has been completed.,ありがとうございました。<br>姓 名 様の会員登録が完了しました。
"Registration details can be changed at any time from <a href=""%1"">member menu</a>.","登録内容は、<a href=""%1"">会員メニュー</a>より、いつでも変更できます。"
